Model,Accuracy,Precision,Recall,F1,Seed(s),Status
Random Forest,0.56775362318840583,0.68528788366940341,0.40067084345565357,0.43076561794773061,"42,43,44",original project tree script; historical leakage retained
XGBoost,0.62210144927536226,0.71841119000059428,0.5043646282541564,0.56184190030651493,"42,43,44",original project tree script; historical leakage retained
LightGBM,0.62853260869565208,0.71172240981060575,0.52459566900303378,0.58346770571682205,"42,43,44",original project tree script; historical leakage retained
CNN-LSTM,0.54284420289855073,0.58068936751745237,0.53286532373989226,0.51839793274655144,"42,43,44",aligned classifier and new regression head; historical leakage retained
BFNE-Net without FE,0.61367753623188415,0.63255010248075094,0.67162119856020885,0.64350903544644633,"42,43,44",new paper-defined reconstruction; historical leakage retained
BFNE-Net without FCNNs,0.81748188405797084,0.83416918567033338,0.82017485944988833,0.82327006591070462,"42,43,44",three-tree implementation; historical leakage retained
BFNE-Net,0.70851449275362322,0.7254091991316306,0.74628172790428249,0.72653878333782651,"42,43,44",full implementation; historical leakage retained
