fold,date,row_index,squared_price_error_full,absolute_price_error_full,absolute_percentage_error_percent_full,brier_full,zero_one_full,squared_price_error_zero,absolute_price_error_zero,absolute_percentage_error_percent_zero,brier_zero,zero_one_zero
2,2009-08-28,1519,6.0406454998726185,2.4577724670670023,0.25735837351486934,0.00014298357459283353,0,124951.45816279811,353.48473540281498,37.014108419142929,0.87607858820004714,1
2,2009-09-01,1520,2.5219590220881276,1.5880677007256736,0.1646092459938506,0.71748663863934214,1,131939.47300315302,363.23473540281498,37.650659279897894,0.19069759954051152,0
2,2009-09-02,1521,472.94933785298542,21.747398415741259,2.2123497879696092,0.21298190022172037,0,145530.60334535575,381.48473540281498,38.8082131640707,0.39718684992754405,1
2,2009-09-03,1522,748.41660974873423,27.357203982657552,2.7661480265578917,0.7821368758127113,1,150144.42017018952,387.48473540281498,39.179447462367541,0.21344126155672738,0
2,2009-09-04,1523,1108.8794503414645,33.299841596341935,3.3274885432267731,0.99847651508393054,1,159388.3739521557,399.23473540281498,39.893553375250065,0.84493612005769003,1
2,2009-09-08,1524,1027.1923463506098,32.049841596341935,3.206587453360874,0.59728155591850929,1,158391.84961364864,397.98473540281498,39.818382731647326,0.99887680216859576,1
2,2009-09-09,1525,542.88261841462588,23.299841596341935,2.3517377336706469,0.41701569562500801,1,151503.67924409939,389.23473540281498,39.286877153955587,0.99978259385614698,1
2,2009-09-10,1526,1664.6270742865936,40.799841596341935,4.04659971201011,0.27040446723913614,1,165433.14498319791,406.73473540281498,40.340663069954374,8.3947502387646575e-07,0
2,2009-09-11,1527,615.48181054628776,24.808905871607635,2.4827526516495007,0.035296658620615665,0,158192.91974594723,397.73473540281498,39.803326034807604,0.99855770228857921,1
2,2009-09-14,1528,815.09345517621614,28.549841596341935,2.8664499594720816,0.31110873707284592,1,155618.20646582893,394.48473540281498,39.606901144860942,0.85030801049568105,1
2,2009-09-15,1529,2332.8746982317225,48.299841596341935,4.7550914689974837,0.056048412792762112,0,171590.41601424012,414.23473540281498,40.781170111032736,1.6806804693917021e-05,0
2,2009-09-16,1530,1898.8813150168098,43.576155349190799,4.2784639518105845,0.90904108787835314,1,173876.26955895562,416.98473540281498,40.941063858891994,0.00040927677414098621,0
2,2009-09-17,1531,1374.6412954773295,37.076155349190799,3.6636517143469169,0.31793742830623273,1,168497.71799871902,410.48473540281498,40.561732747313734,0.99846365764983225,1
2,2009-09-18,1532,1212.8610964059708,34.826155349190799,3.4489879028661354,0.00057456913998783527,0,166655.59918940635,408.23473540281498,40.429287982452585,0.77007898061906832,1
2,2009-09-24,1533,274.76892616050674,16.576155349190799,1.671826056398467,0.52055442045135303,1,152088.09384720362,389.98473540281498,39.332802360344424,0.59082679787505565,1
2,2009-09-25,1534,486.19551442377104,22.049841596341935,2.2283821724448645,0.031481260654909159,0,150532.15490559235,387.98473540281498,39.210180434847395,0.63186505257502423,1
2,2009-09-29,1535,7064.3758723701712,84.049841596341935,7.9933277790149244,0.07646756668202824,0,202486.2620955414,449.98473540281498,42.794554008826914,0.2715500246805595,1
2,2009-10-09,1536,7095.9228494923955,84.237300820315909,7.9506654856362351,0.95310423735191629,1,209750.01786198645,457.98473540281498,43.226496970534683,0.84234597973465031,1
2,2009-10-14,1537,6121.0752396486041,78.237300820315909,7.4264167840831421,0.880609013520807,1,204290.20103715267,451.98473540281498,42.903154760589935,0.99356059838393274,1
2,2009-10-15,1538,5218.2276298048137,72.237300820315909,6.8961623694812317,0.92988286388971819,1,198902.3842123189,445.98473540281498,42.576108391676847,0.99910744972684085,1
2,2009-10-16,1539,7480.0532031838165,86.487300820315909,8.1457311815696638,5.8048123471555253e-06,0,211816.01167129911,460.23473540281498,43.346808137773955,0.00067848634061473375,0
2,2009-10-20,1540,6160.256390058762,78.487300820315909,7.4483796745258273,0.74875872029416812,1,204516.25590485407,452.23473540281498,42.916700868594546,0.98985300773736906,1
2,2009-10-21,1541,6043.0879388282883,77.737300820315909,7.3824597170290511,0.51008204698191106,1,203838.46630174984,451.48473540281498,42.876043248130578,0.98275891281635397,1
2,2009-10-22,1542,7480.0532031838165,86.487300820315909,8.1457311815696638,0.00066399567231877391,0,211816.01167129911,460.23473540281498,43.346808137773955,1.6643651231203251e-05,0
