model,rmse_usd_per_oz_mean,rmse_usd_per_oz_std,mape_percent_mean,mape_percent_std
BFNE-Net,58.81214544297485,26.97593834107683,3.052032694274472,1.6553870873864784
BFNE-Net without FCNNs,133.39464855306286,108.02445748059516,5.122958668709423,3.415253594275268
Random Forest,214.716500277971,188.27130225193346,13.605463863751798,13.52590412741748
XGBoost,220.8025465394806,188.3816872964484,13.89377550155653,13.640656846458175
LightGBM,219.5146257100855,187.919187990883,14.037637225095072,13.886899620799865
