model,n,rmse_usd_per_oz,mape_percent
BFNE-Net,3680,64.70370701116904,3.0520326942744727
BFNE-Net without FCNNs,3680,171.64910625043194,5.122958668709423
Random Forest,3680,285.5683083664201,13.6054638637518
XGBoost,3680,290.24373320879187,13.89377550155653
LightGBM,3680,288.96417098974706,14.037637225095068
