model,fold,max_csv_vs_float32_price_difference,rmse_csv_minus_native,mape_csv_minus_native
XGBoost,1,3.046874996925908e-05,8.662830737193872e-07,7.603608054296274e-08
XGBoost,2,3.046874996925908e-05,7.049510486467625e-07,4.0158717240501574e-08
XGBoost,3,5.7617187394498615e-05,4.639316699694973e-07,-8.849163846136321e-09
XGBoost,4,6.0546874919964466e-05,-3.5381226837216673e-07,-5.933512792211104e-09
XGBoost,5,6.0546874919964466e-05,1.0139889354832121e-06,2.9411444835147904e-08
