fold,date,row_index,squared_price_error_full,squared_price_error_zero,absolute_price_error_full,absolute_price_error_zero,absolute_percentage_error_percent_full,absolute_percentage_error_percent_zero,brier_full,brier_zero,zero_one_full,zero_one_zero
1,2006-01-19,772,12.619756581696274,284.88849031043003,3.515742445976533,15.441791894453255,0.61978712137091796,2.7222198139185991,0.047504622058503677,0.080794630116030428,0,0
1,2006-01-20,773,37.19934020101838,29221.9059056527,5.1903120411205537,149.04728246103221,0.93603463320478886,26.879582048878671,0.024620913819105455,0.026300816074525377,0,0
1,2006-01-23,774,41.152638993607489,50352.602146453952,6.0483510041223099,197.57521524772827,1.0853927329066506,35.455399775276497,0.043167142385337233,0.014328731209493227,0,0
1,2006-01-24,775,23.626316664043145,33704.306259811819,4.7428051405127007,118.83419976455411,0.84429107975303974,21.154285672372783,0.052053091217412167,0.0095412085243446569,0,0
1,2006-01-25,776,8.2540410850900141,1138.7620548645493,2.5196244654105917,28.298197395638756,0.44853128000188541,5.0375073245462847,0.055825930486219505,0.03744302872529693,0,0
1,2006-01-27,777,18.001284132175154,29254.671432229847,4.0379315677999257,128.71925118808102,0.70871988903903915,22.592233644244146,0.52262466674354291,0.17475228305562199,1,0
1,2006-02-06,778,3.7383247904885857,11493.697186339961,1.3774828469552556,71.892882875339225,0.24655143135050214,12.867886678958156,0.017152878655204911,0.021602471347053235,0,0
1,2006-02-07,779,21.789104447195687,592.7697398605867,4.4630291315399218,24.302555876306617,0.8133082699844959,4.4287117770034845,0.22146176125756725,0.16666771208260045,0.33333333333333331,0.33333333333333331
1,2006-02-08,780,25.765146539475097,771.39219776016489,3.6779802297901747,25.945612967060356,0.66031961037525588,4.6580992759533855,0.1244629773832255,0.21316354040462385,0.33333333333333331,0.33333333333333331
1,2006-02-10,781,19.2142888573681,1201.884010527526,4.1216252673024956,33.849415170300553,0.75034139219051443,6.1622820262698994,0.051800091574481955,0.064360020406565091,0,0
1,2006-02-13,782,22.120533738701738,227.71489143306621,3.9745460443140246,13.646295845344525,0.73643617645247816,2.5284965435139011,0.056347515659866676,0.05843803829927776,0,0
1,2006-02-14,783,34.426912483303909,527.94954564578222,5.0190960818055528,15.802825696347895,0.93161876228409335,2.9332391083708393,0.2261370214669621,0.22415008183975157,0.33333333333333331,0.33333333333333331
1,2006-02-16,784,62.423445709617596,429.82132209556931,5.2819916708347892,19.148573483552468,0.95740287671466173,3.4708307927410673,0.37506412506076975,0.23547680726822651,0.66666666666666663,0.33333333333333331
1,2006-02-17,785,12.107749231719595,515.14623741708635,2.5226549395572797,21.305078099956592,0.45535287717640432,3.8456819675011906,0.062593870428286166,0.020187257299207128,0,0
1,2006-02-21,786,31.725520892982065,444.73619944270541,4.2313881263684534,17.788388172919742,0.76516964310460267,3.2167067220469701,0.063042011729912834,0.12893878245836388,0,0
1,2006-02-22,787,5.1479135018742452,85.582507274774841,1.8699399799898326,8.1897141445880006,0.33924890783560091,1.4857971960428156,0.30331139257474893,0.068746770629228668,0.66666666666666663,0
1,2006-02-23,788,24.70136188036334,81.93652871922059,4.7696415151373612,8.8425575878512745,0.86071307680905196,1.5956974804387396,0.11018305437495261,0.029543533883192599,0,0
1,2006-02-24,789,8.5200594216402017,971.42063906830845,2.4580440598220243,25.37646340806312,0.44429174149516931,4.5867986277565516,0.43239122861487383,0.20585732673854348,0.66666666666666663,0.33333333333333331
1,2006-02-27,790,2.711260994734269,799.00641052932212,1.5965955096412092,26.015227961522594,0.28715746576280743,4.6789978348062222,0.047548103667906051,0.01377872483165655,0,0
1,2006-02-28,791,100.8309286320777,381.25857167707994,10.034906684449462,13.612293943668078,1.7784504536020316,2.4124579430514976,0.30143324628908774,0.13083162310841714,0.33333333333333331,0
1,2006-03-01,792,35.718002638103165,258.66797427208814,5.8296735967366731,13.549603914434746,1.0340884428801196,2.4034774127600436,0.021390154794551586,0.083242707819134842,0,0
1,2006-03-02,793,43.467195318896394,975.68949531997157,5.8110912616416117,27.291732369908839,1.0285117277241791,4.8303951097183777,0.27576298339511063,0.049696306573732009,0.33333333333333331,0
1,2006-03-03,794,34.162586800419014,181.09703059402258,5.4970267312084315,10.5250108705798,0.97249477774585247,1.862009884224644,0.22630651986989467,0.22810007967725979,0.66666666666666663,0.33333333333333331
1,2006-03-06,795,25.194515502214703,232.4075579552383,4.1372070946795247,11.820753241970957,0.74813871513192121,2.13756839818643,0.21000285952369499,0.20130770422251509,0.33333333333333331,0.33333333333333331
1,2006-03-07,796,117.61600226269196,1297.6320521516732,10.460508018781374,31.330581836196341,1.920240113589972,5.7513688547400337,0.15407599437274017,0.108648435247579,0.33333333333333331,0.33333333333333331
1,2006-03-08,797,10.210629036447679,575.66060537195881,2.5899699184188116,15.778583457787098,0.4708180182546467,2.8683118447167963,0.040472954081232672,0.065500173755826299,0,0
1,2006-03-09,798,98.3029707679935,1031.4898170760696,9.6825036128840338,30.181385068125945,1.8098137594175763,5.6413803865655971,0.21517370327732802,0.1384771746465531,0.33333333333333331,0.33333333333333331
1,2006-03-10,799,32.792515164631901,506.27053198151879,4.9572158542429934,20.179200656677835,0.91209123353136956,3.7128244078524077,0.23107639669487745,0.04563067396971171,0.66666666666666663,0
1,2006-03-13,800,20.159557670597881,49.773863696847933,3.5374145530739347,6.1581248722241071,0.64811552822900975,1.1282749857501113,0.018125234457688953,0.10129608046817386,0,0.33333333333333331
1,2006-03-14,801,9.9332421285301482,1388.4169598053666,3.0290889233293306,30.239731263616743,0.54800342348789333,5.4707790617126628,0.035500375896701443,0.12030013827239534,0,0.33333333333333331
1,2006-03-16,802,8.4415431121557134,122.56120195733605,2.7558402874811541,9.0031228500669158,0.49856902532449637,1.6287874898357153,0.1007916966896848,0.064774169767374865,0.33333333333333331,0
1,2006-03-17,803,9.8247264316755185,116.56307081518169,2.3816925548249706,10.789165106811273,0.42855466573548723,1.9413702396421544,0.15867958307561308,0.17065316535105915,0.33333333333333331,0.33333333333333331
1,2006-03-20,804,49.238400939649374,812.84826308360732,6.9742843375663597,18.630951209807147,1.2663248910696978,3.3828327208002089,0.41391139882009886,0.21612946022085852,0.66666666666666663,0.33333333333333331
1,2006-03-22,805,36.997416621985671,802.7147289302867,5.7798808385786442,26.312518399786921,1.0576177197765131,4.8147334674815951,0.25606414916044146,0.0061804969467289155,0.33333333333333331,0
1,2006-03-23,806,18.348679315779908,232.35707631810274,3.140235409083592,12.121101846305502,0.56402970975906463,2.1771175296462508,0.031739992599525507,0.029143976948465489,0,0
1,2006-03-24,807,17.120446592043709,108.06616619198832,3.7465838240846474,9.227843066962123,0.6631121812539198,1.6332465605242696,0.22702220672042631,0.085810641630156656,0.33333333333333331,0
1,2006-03-27,808,101.88481137442028,82.401760404276956,9.5780061178805536,7.873458326397933,1.6877543820053837,1.3873935376912658,0.079218800060479447,0.11036964729304322,0,0
1,2006-03-28,809,365.03785153771554,186.31520342589462,17.105643283166085,11.165616800009843,3.0275474837462095,1.9762153628336006,0.17042683427152808,0.1715128351294499,0.33333333333333331,0.33333333333333331
1,2006-03-29,810,242.28804063101998,313.21666549125968,15.151883903733998,16.63850955753162,2.6034164783048106,2.8588504394384224,0.45135575126382904,0.0029162121215419619,0.66666666666666663,0
1,2006-03-31,811,421.57106979601286,242.26082875401221,15.905880586115927,15.522081072901946,2.7096900487420661,2.6443068267294625,0.058778007833542041,0.12836022258730642,0,0
1,2006-04-03,812,165.91325994454806,530.85654332159572,10.104097556655196,19.153440254871345,1.7183839382066657,3.2573877984475081,0.11093330183444823,0.040001391887299988,0,0
1,2006-04-04,813,182.84538019337705,1503.8661250648465,12.08333277469986,36.069492661407061,2.0602442923614421,6.1499561230020561,0.045533269204531511,0.041517155733046582,0,0
1,2006-04-05,814,198.84754514754653,1352.964014877846,13.22870067516798,33.634717563981894,2.2431031242336554,5.7032162041512322,0.37947368350990773,0.04860849622959907,0.66666666666666663,0
1,2006-04-07,815,135.15100816475896,226.01267963848582,8.3916202246741332,12.758878370865318,1.4050431518918594,2.1362709704253358,0.064322154488158936,0.046538488107536996,0,0
1,2006-04-10,816,212.435430597866,859.04375478159784,12.37953467746604,25.173856411116503,2.0727559108356703,4.2149613078470489,0.033937300977380173,0.045185489819888791,0,0
1,2006-04-12,817,296.58661330018214,42.343592182117469,11.034492063233111,5.8208284112678257,1.8607912416919243,0.98158995130992011,0.46385361740408282,0.22688683325474832,0.66666666666666663,0.33333333333333331
1,2006-04-13,818,61.753195031031318,527.55079454551139,6.2545489079395793,22.265091616586648,1.0174134051142056,3.6218123817139731,0.35018950004455335,0.17099432432442108,0.66666666666666663,0.33333333333333331
1,2006-04-18,819,68.683581343482359,231.09421075863474,6.0959705002859819,14.121589110596082,0.97574557827706787,2.2603584010557953,0.0027236057090354281,0.019290420617227896,0,0
1,2006-04-19,820,572.92427474847398,772.55175483418498,21.117388003348804,22.767298015491331,3.3787820805358084,3.6427676824786133,0.0035880485829832541,0.0029648479348915618,0,0
1,2006-04-20,821,526.46877168409571,754.1716653402882,22.76073055848163,20.912703846614438,3.6504780366450085,3.3540824132501101,0.0387702609701489,0.0020760432018362284,0,0
1,2006-04-21,822,838.04702706424325,462.86024159124491,28.586007231368246,18.879769667879447,4.5921296757218064,3.0328947257637666,0.2794246785006978,0.37587232447312985,0.66666666666666663,1
1,2006-04-24,823,684.57009527658181,2771.0432233413644,25.233399801833837,42.097028903111855,3.975328838414153,6.6320644195528713,0.61513324244779366,0.24242256048866154,1,0.33333333333333331
1,2006-04-25,824,671.47612510796648,1319.8460996431036,25.246167210302549,29.353694755639896,3.9726462958776634,4.6189920937277575,0.041695952471451518,0.00085279021209529789,0,0
1,2006-04-26,825,874.84441281874012,836.54241113807723,27.932796951889866,21.007157297904428,4.3781813404216088,3.292657883684079,0.0039400027169838245,0.0044088911891879785,0,0
1,2006-04-27,826,531.75249693009198,1355.3647347253761,21.987311116218468,34.938691839744671,3.4141787447544201,5.4252627080348859,0.0036606080107066904,0.0084662775991078271,0,0
1,2006-04-28,827,1145.6903631404934,2352.1607735839389,30.664139592650297,42.528482261202726,4.5394729226721386,6.2958522962550285,0.0020163669198925136,0.0026177705669610386,0,0
1,2006-05-08,828,1833.171910486016,2032.2220227778134,35.621032883312672,45.023629865353165,5.1531331476763356,6.5133641758196248,0.0016522322141828301,0.0014727827973246531,0,0
1,2006-05-09,829,1451.0816348382396,3664.2647853787203,35.131877527871929,57.830896760892415,5.0195567263711869,8.26273707113765,0.10381166890812576,0.0092195544008019086,0.33333333333333331,0
1,2006-05-10,830,1388.155686107395,4541.6759458800416,36.21492506166252,65.742110546923115,5.0614849841596827,9.1882754083749987,0.16812047544699582,0.0014932947051947058,0.33333333333333331,0
1,2006-05-11,831,1027.3771409387216,5780.8907383468068,26.834346575681177,73.956615710261531,3.7012891828525762,10.200912511760214,0.098843951122060292,0.009142763052959647,0,0
1,2006-05-12,832,1124.6020879250559,2326.1845640658921,24.581674008485265,44.216010797986918,3.5755162194160381,6.4314197524344614,0.11433606299134942,0.0041084289830557409,0.33333333333333331,0
1,2006-05-15,833,846.0803870864969,3046.8431226988105,24.914330576242453,51.8551027348243,3.6003367884743427,7.4935119558994652,0.43727760021251227,0.29354397801811827,0.66666666666666663,0.33333333333333331
1,2006-05-16,834,461.61096099539463,5842.209608216247,20.066575019368127,74.116950773258097,2.8687026475151001,10.595704184883216,0.091509762620354096,0.011955291991395361,0.33333333333333331,0
1,2006-05-17,835,560.71415885209581,4515.1901930132817,23.644173747254399,64.6785661614811,3.4093978006134678,9.3263974277550243,0.012725257099193378,0.038015463270740922,0,0
1,2006-05-18,836,707.70642745668101,1216.5193054572467,18.095271695976482,32.665264803331034,2.7774783877170353,5.0138549199280176,0.52899465554630565,0.27296172311638367,0.66666666666666663,0.66666666666666663
1,2006-05-19,837,316.34946093937793,902.22979192247203,13.016300142906781,27.008047062827131,1.9948352709435679,4.139164300816419,0.12966368394698499,0.15711716763374647,0.33333333333333331,0.33333333333333331
1,2006-05-22,838,24.992537234151474,1718.3061517571914,4.7512959211311072,38.674271441943652,0.71260531250560299,5.8004156643335065,0.21883647252835323,0.062471504643559196,0.66666666666666663,0
1,2006-05-23,839,391.12226690507509,732.34070433297711,14.175122539854101,23.725691711693873,2.1858323114655516,3.6585492230830958,0.020696042696926233,0.057909141980208724,0,0
1,2006-05-24,840,577.25509179101027,484.4959644453802,17.37098529220653,18.881725771021973,2.7036552983979036,2.9387900032719023,0.18929134952620985,0.10506762374162382,0.33333333333333331,0
1,2006-05-25,841,291.63243290443205,787.54620073060585,14.652016505341559,21.573428177774343,2.2813571826144892,3.359039031183237,0.26717032911432403,0.071094340379762019,0.33333333333333331,0
1,2006-05-26,842,421.81393486843649,3512.0188893490963,17.218276992350905,51.689357499333518,2.6068549572067981,7.8257922027757045,0.4252907639133266,0.096382126626137987,0.66666666666666663,0
1,2006-05-30,843,276.89320560814934,976.28880988621802,13.899121591867015,28.09099902720008,2.1285025408678435,4.3018375233078219,0.13234973562462995,0.072576126521803216,0,0
1,2006-05-31,844,630.99607341483795,1049.1844022631456,23.619285983071183,29.522364944045119,3.7790857572913894,4.7235783910472184,0.010380129700500285,0.012120610006831104,0,0
1,2006-06-01,845,344.89190345748602,1193.6840004696317,17.001845658405614,29.780398237535792,2.6891017253310578,4.7102251067672265,0.054728502924881794,0.07519478562647762,0,0
1,2006-06-02,846,514.79672399413994,1395.0918114015183,18.920879180818059,32.039641348267047,2.9480958524178962,4.9921535288667878,0.45713937525973919,0.1169980879997994,0.66666666666666663,0
1,2006-06-05,847,445.1028654528065,721.86673737780472,18.606693110185876,23.44459222857904,2.9675746587218303,3.7391694144464185,0.37039849835259447,0.045435286667268572,0.66666666666666663,0
1,2006-06-06,848,617.9918301767301,547.21877776006329,19.827947439745305,20.29590323186331,3.2097041585989969,3.2854558044295121,0.037281161068794873,0.012704331197372723,0,0
1,2006-06-07,849,653.15503794260417,756.67061789649358,21.115256985464764,22.659367340201168,3.4389669357434465,3.690450706873154,0.015573763560354744,0.010699624955699793,0,0
1,2006-06-08,850,740.985745612144,2923.2306358013798,22.474998651748553,36.44978190891576,3.6485387421669735,5.9171723878110001,0.13627432696454372,0.1638737755981613,0.33333333333333331,0.33333333333333331
1,2006-06-09,851,529.03651440867668,6526.7903413307477,20.263369896013121,51.732761102382518,3.3262261812234275,8.4919174495046814,0.5275537816132162,0.20430178924629636,0.66666666666666663,0
1,2006-06-12,852,1060.5339007642278,41813.278194564919,29.079648971047277,198.15722710789566,4.9581669174846175,33.786398483869675,0.032994425213156764,0.041784623902952567,0,0
1,2006-06-13,853,1112.2143653730634,3957.6018158735983,30.149838214215038,54.833978252808983,5.3104074353527144,9.6581203439557868,0.033255677793239485,0.053415032341509967,0,0
1,2006-06-14,854,268.52598465709394,445.42045841385738,16.10370857386128,16.962589895531817,2.8276924624866164,2.9785056884164738,0.047473449981203279,0.12069217521550273,0,0.33333333333333331
1,2006-06-15,855,335.15512635755783,1188.5579935008016,18.211104795412705,27.514044437273053,3.1726663406642341,4.7933875326259674,0.03739688295023709,0.11549933400890106,0,0
1,2006-06-16,856,590.84566015948587,5742.6361563714117,19.855576361603539,61.696486451559167,3.4773338636783784,10.804988870675862,0.065701807117196476,0.16960988796390775,0,0.33333333333333331
1,2006-06-19,857,505.42005080957819,4065.460938981254,18.079751455920132,60.900181713511266,3.1886686871111345,10.74077278897906,0.26290615118050636,0.057152627262138968,0.33333333333333331,0
1,2006-06-20,858,23.284937830694329,14824.244730818007,3.4421904495083786,95.752858877694393,0.59905855369098127,16.664263640392338,0.35135446857278402,0.17086113512139897,1,0.33333333333333331
1,2006-06-21,859,11.361940821739935,20262.793594849645,2.787380554295813,117.22271009124238,0.47688290064941197,20.055211307312643,0.054943076848904232,0.13857189221606311,0,0.33333333333333331
1,2006-06-22,860,21.689177595025281,24811.97635118675,4.0555873268438818,128.68871403497121,0.69972176101516259,22.203021745164111,0.15482142624659989,0.072472594093240972,0.33333333333333331,0
1,2006-06-23,861,190.08001877512541,2553.049749974361,10.77384529854036,46.457711027993923,1.8464173605039178,7.9619042035979293,0.0035992790156809504,0.00026499031704947722,0,0
1,2006-06-26,862,55.22809855036428,1758.4974113568112,6.6327555379416481,26.625598149147777,1.1265826816036768,4.522394590088795,0.36024994382032532,0.25274424018859049,0.33333333333333331,0.33333333333333331
