loss,n_dates,mean_loss_full_minus_zero,dm_statistic,p_value_two_sided,hac_lag,forecast_horizon
squared_price_error,3680,-17092.487182460856,-4.8484318536782247,1.2958788235176342e-06,10,1
absolute_price_error,3680,-35.084252338942171,-7.2235459924425918,6.1263950722605992e-13,10,1
absolute_percentage_error_percent,3680,-2.1386029399901942,-7.3334314970415218,2.7450497638512326e-13,10,1
brier,3680,0.071526973623083301,13.883422328589067,9.3940594184247371e-43,10,1
zero_one,3680,0.1282608695652174,13.574114135341143,5.4496856622880845e-41,10,1
