loss,n_dates,mean_loss_full_minus_zero,dm_statistic,p_value_two_sided,hac_lag,forecast_horizon
squared_price_error,3680,-14876.322234017118,-7.6849142159345751,1.9509656565402769e-14,10,1
absolute_price_error,3680,-31.753275094080816,-9.7467139663216429,3.5263262666571301e-22,10,1
absolute_percentage_error_percent,3680,-2.0920750448504979,-10.390992941617098,6.0129333993296933e-25,10,1
brier,3680,0.057865816457532471,17.341322442805641,8.1171364300287142e-65,10,1
zero_one,3680,0.10896739130434782,16.986420339337997,2.3281312264568696e-62,10,1
